gsm,title,characteristics,cell_line,treatment,cell_line_matched,norm_key,Sample,Molecular Subtype,GI50
GSM1160861,OVCA433b(-),"['cell line: OVCA433', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 4']",OVCA433,control,OVCA433,OVCA433,OVCA 433,Epi-A,0.00020198
GSM1160862,OVCA433b(+),"['cell line: OVCA433', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 4']",OVCA433,cisplatin,OVCA433,OVCA433,OVCA 433,Epi-A,0.00020198
GSM1160863,OVCAR-2(-),"['cell line: OVCAR-2', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 4']",OVCAR-2,control,OVCAR-2,OVCAR2,,,
GSM1160864,OVCAR-2(+),"['cell line: OVCAR-2', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 4']",OVCAR-2,cisplatin,OVCAR-2,OVCAR2,,,
GSM1160865,OVCAR-3(-),"['cell line: OVCAR-3', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",OVCAR-3,control,OVCAR-3,OVCAR3,,,
GSM1160866,OVCAR-5(-),"['cell line: OVCAR-5', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",OVCAR-5,control,OVCAR-5,OVCAR5,,,
GSM1160867,OVCAR-5(+),"['cell line: OVCAR-5', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",OVCAR-5,cisplatin,OVCAR-5,OVCAR5,,,
GSM1160868,OVK-18(-),"['cell line: OVK-18', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",OVK-18,control,OVK-18,OVK18,,,
GSM1160869,OVK-18(+),"['cell line: OVK-18', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",OVK-18,cisplatin,OVK-18,OVK18,,,
GSM1160870,PA-1(-),"['cell line: PA-1', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",PA-1,control,PA-1,PA1,PA-1,Stem-A,3.01e-06
