gene,logFC,pval,adj_p,neg_log10_adj_p
DOCK5,1.8557953166666676,0.00043963875262656454,0.7223490723059768,0.14125288062942037
DPYSL5,-0.8852679333333331,0.0072845570094796615,0.7223490723059768,0.14125288062942037
DTX3L,1.8851250000000013,0.0022022199424970783,0.7223490723059768,0.14125288062942037
DUSP10,2.287657883333332,0.0036105143123296027,0.7223490723059768,0.14125288062942037
DYNLT3,1.1499593333333307,0.0022022199424970783,0.7223490723059768,0.14125288062942037
DZIP3,-1.082371349999999,0.0010079762403767444,0.7223490723059768,0.14125288062942037
E2F5,-0.9656267500000029,0.009108496398030963,0.7553569094779913,0.12184779381310676
EDIL3,4.40746765,0.0072845570094796615,0.7223490723059768,0.14125288062942037
EFCAB14,0.6589355666666687,0.0072845570094796615,0.7223490723059768,0.14125288062942037
EFEMP1,3.3861375000000002,0.0072845570094796615,0.7223490723059768,0.14125288062942037
EFR3B,-1.0733961333333344,0.009108496398030963,0.7553569094779913,0.12184779381310676
EML1,-1.4891962999999997,0.0072845570094796615,0.7223490723059768,0.14125288062942037
ENTPD1,-1.0038823333333324,0.0072845570094796615,0.7223490723059768,0.14125288062942037
EPHA7,-3.10299965,0.009108496398030963,0.7553569094779913,0.12184779381310676
EPS8,1.994904383333334,0.0028272720911168077,0.7223490723059768,0.14125288062942037
EVA1A,1.2760414499999992,0.009108496398030963,0.7553569094779913,0.12184779381310676
F3,2.5828453500000004,0.004586392080253494,0.7223490723059768,0.14125288062942037
FAM110B,1.1274818166666662,0.00579535854433471,0.7223490723059768,0.14125288062942037
FAM111A,2.0494888000000024,0.0072845570094796615,0.7223490723059768,0.14125288062942037
FAM114A1,1.017154416666667,0.0028272720911168077,0.7223490723059768,0.14125288062942037
FAM27E2,-0.8014649388888904,0.009108496398030963,0.7553569094779913,0.12184779381310676
FBXO32,1.8756000999999998,0.00579535854433471,0.7223490723059768,0.14125288062942037
FBXW10,0.8820017999999998,0.00579535854433471,0.7223490723059768,0.14125288062942037
FERMT1,2.4908557833333322,0.0072845570094796615,0.7223490723059768,0.14125288062942037
FGFBP1,3.005502316666666,0.0022022199424970783,0.7223490723059768,0.14125288062942037
FIGNL2,-1.303169566666667,0.009108496398030963,0.7553569094779913,0.12184779381310676
FREM2,-3.005780866666666,0.0028272720911168077,0.7223490723059768,0.14125288062942037
GALNT5,2.868032716666666,0.0036105143123296027,0.7223490723059768,0.14125288062942037
GBP1,3.005245800000001,0.00043963875262656454,0.7223490723059768,0.14125288062942037
GBP3,1.7567018833333332,0.0005828399431792743,0.7223490723059768,0.14125288062942037
GDPD1,-0.8397063333333339,0.0072845570094796615,0.7223490723059768,0.14125288062942037
GFRA1,2.3144729999999987,0.0072845570094796615,0.7223490723059768,0.14125288062942037
GLIPR1,3.0246570166666675,0.0072845570094796615,0.7223490723059768,0.14125288062942037
GPR39,3.0020911166666657,0.00032983852077799353,0.7223490723059768,0.14125288062942037
GPR87,3.023660866666667,0.0022022199424970783,0.7223490723059768,0.14125288062942037
GSAP,1.9655343333333342,0.0028272720911168077,0.7223490723059768,0.14125288062942037
GSTA4,-1.6763155000000003,0.00579535854433471,0.7223490723059768,0.14125288062942037
GSTM2,-1.1669053500000004,0.00579535854433471,0.7223490723059768,0.14125288062942037
HCFC2,0.8861814333333324,0.0072845570094796615,0.7223490723059768,0.14125288062942037
HERC6,1.3620522500000005,0.0010079762403767444,0.7223490723059768,0.14125288062942037
HEY2,-1.869647933333333,0.009108496398030963,0.7553569094779913,0.12184779381310676
HIVEP2,1.3738381833333335,0.009108496398030963,0.7553569094779913,0.12184779381310676
HLA-DMB,-1.8920487833333341,0.00032983852077799353,0.7223490723059768,0.14125288062942037
HOMER1,-1.0394458833333324,0.0036105143123296027,0.7223490723059768,0.14125288062942037
HRH1,1.3339640666666668,0.00579535854433471,0.7223490723059768,0.14125288062942037
IFI44,3.18658085,0.0005828399431792743,0.7223490723059768,0.14125288062942037
