gene,logFC,pval,adj_p,neg_log10_adj_p
TM4SF1,3.5127635999999987,0.004586392080253494,0.7223490723059768,0.14125288062942037
TMBIM1,1.2166449999999998,0.0022022199424970783,0.7223490723059768,0.14125288062942037
TMEM126A,0.6157043000000009,0.0022022199424970783,0.7223490723059768,0.14125288062942037
TMEM14A,0.6830188166666655,0.0072845570094796615,0.7223490723059768,0.14125288062942037
TMEM59,0.5862654666666653,0.0036105143123296027,0.7223490723059768,0.14125288062942037
TRANK1,1.23807155,0.009108496398030963,0.7553569094779913,0.12184779381310676
TRHDE,3.049182066666666,0.0036105143123296027,0.7223490723059768,0.14125288062942037
TSPAN12,-2.195059483333333,0.0005828399431792743,0.7223490723059768,0.14125288062942037
TUBA4A,1.7135476833333332,0.0028272720911168077,0.7223490723059768,0.14125288062942037
TUBE1,-1.0284488666666656,0.004586392080253494,0.7223490723059768,0.14125288062942037
UBA7,1.4996952166666668,0.009108496398030963,0.7553569094779913,0.12184779381310676
UCA1,4.033395099999999,0.0013149446697132139,0.7223490723059768,0.14125288062942037
UFM1,0.6154934749999983,0.0072845570094796615,0.7223490723059768,0.14125288062942037
WDR19,-0.6515267499999995,0.0072845570094796615,0.7223490723059768,0.14125288062942037
WDR35,-0.9682921666666688,0.0028272720911168077,0.7223490723059768,0.14125288062942037
XAF1,1.7770102333333337,0.0072845570094796615,0.7223490723059768,0.14125288062942037
ZAK,0.8733220333333334,0.0028272720911168077,0.7223490723059768,0.14125288062942037
ZBED2,2.1972222000000006,0.0072845570094796615,0.7223490723059768,0.14125288062942037
ZBTB24,-0.6310758666666674,0.009108496398030963,0.7553569094779913,0.12184779381310676
ZC3H12C,1.4128197833333331,0.0028272720911168077,0.7223490723059768,0.14125288062942037
ZFAND2A,0.9485895833333338,0.0036105143123296027,0.7223490723059768,0.14125288062942037
ZKSCAN8,-0.6215496666666676,0.0013149446697132139,0.7223490723059768,0.14125288062942037
ZNF137P,0.7436261833333333,0.0072845570094796615,0.7223490723059768,0.14125288062942037
ZNF280A,-1.3057064333333326,0.00579535854433471,0.7223490723059768,0.14125288062942037
ZNF600,0.6318576166666681,0.00579535854433471,0.7223490723059768,0.14125288062942037
